Player,Runs,Mins,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,Scorecard
GJ Maxwell,201*,181,128,21,10,157.03,Australia,v Afghanistan,Wankhede,07 Nov 2023,ODI # 4696
MR Marsh,177*,177,132,17,9,134.09,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
Q de Kock,174,192,140,15,7,124.28,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
DA Warner,163,180,124,14,9,131.45,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
DP Conway,152*,147,121,19,3,125.61,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
DJ Malan,140,106,107,16,5,130.84,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
TM Head,137,166,120,15,4,114.16,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
DJ Mitchell,134,180,119,9,7,112.6,New Zealand,v India,Wankhede,15 Nov 2023,ODI # 4703
HE van der Dussen,133,172,118,9,5,112.71,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
Mohammad Rizwan,131*,193,121,8,3,108.26,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
RG Sharma,131,111,84,16,5,155.95,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
DJ Mitchell,130,192,127,9,5,102.36,New Zealand,v India,Dharamsala,22 Oct 2023,ODI # 4678
Ibrahim Zadran,129*,217,143,8,3,90.2,Afghanistan,v Australia,Wankhede,07 Nov 2023,ODI # 4696
SS Iyer,128*,145,94,10,5,136.17,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
Fakhar Zaman,126*,103,81,8,11,155.55,Pakistan,v New Zealand,Bengaluru,04 Nov 2023,ODI # 4692
R Ravindra,123*,141,96,11,5,128.12,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
BKG Mendis,122,124,77,14,6,158.44,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
MR Marsh,121,139,108,10,9,112.03,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
V Kohli,117,149,113,9,2,103.53,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
R Ravindra,116,137,89,9,5,130.33,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
Q de Kock,114,176,116,10,3,98.27,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
