Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RJW Topley (ENG),2023-2023,3,2,2,16,15*,-,9,177.77,-,-,-,3,0
AAP Atkinson (ENG),2023-2023,3,3,1,37,35,18.50,23,160.86,-,-,1,7,0
GJ Maxwell (AUS),2023-2023,9,9,3,400,201*,66.66,266,150.37,2,-,1,40,22
HH Pandya (IND),2023-2023,4,1,1,11,11*,-,8,137.5,-,-,-,0,1
H Klaasen (SA),2023-2023,10,10,1,373,109,41.44,280,133.21,1,1,-,28,19
MA Wood (ENG),2023-2023,7,7,4,85,43*,28.33,65,130.76,-,-,1,7,5
TM Head (AUS),2023-2023,6,6,0,329,137,54.83,258,127.51,2,1,1,37,13
Mujeeb Ur Rahman (AFG),2023-2023,9,5,1,51,28,12.75,40,127.5,-,-,-,6,2
MJ Santner (NZ),2023-2023,10,7,3,103,36*,25.75,81,127.16,-,-,-,6,5
RG Sharma (IND),2023-2023,11,11,0,597,131,54.27,474,125.94,1,3,1,66,31
JDS Neesham (NZ),2023-2023,3,2,0,58,58,29.00,47,123.4,-,1,1,3,3
Fakhar Zaman (PAK),2023-2023,4,4,1,220,126*,73.33,179,122.9,1,1,-,14,18
MS Chapman (NZ),2023-2023,8,6,1,84,39,16.80,71,118.3,-,-,-,10,1
Haris Rauf (PAK),2023-2023,9,5,2,53,35,17.66,45,117.77,-,-,-,5,4
DJ Willey (ENG),2023-2023,6,6,2,78,16*,19.50,67,116.41,-,-,-,7,6
Iftikhar Ahmed (PAK),2023-2023,9,8,2,142,40,23.66,123,115.44,-,-,-,11,8
BKG Mendis (SL),2023-2023,9,9,0,294,122,32.66,258,113.95,1,1,-,27,15
Agha Salman (PAK),2023-2023,3,1,0,51,51,51.00,45,113.33,-,1,-,6,1
SS Iyer (IND),2023-2023,11,11,3,530,128*,66.25,468,113.24,2,3,1,37,24
MP Stoinis (AUS),2023-2023,6,5,1,87,35,21.75,77,112.98,-,-,-,8,4
HC Brook (ENG),2023-2023,6,6,0,169,66,28.16,150,112.66,-,1,-,20,5
Mohammed Siraj (IND),2023-2023,11,1,1,9,9*,-,8,112.5,-,-,-,1,0
GD Phillips (NZ),2023-2023,10,9,2,285,71,40.71,255,111.76,-,2,-,22,14
DJ Mitchell (NZ),2023-2023,10,9,1,552,134,69.00,497,111.06,2,2,-,48,22
AK Markram (SA),2023-2023,10,10,1,406,106,45.11,366,110.92,1,3,-,44,9
M Jansen (SA),2023-2023,9,8,3,157,75*,31.40,142,110.56,-,1,1,9,9
DA Warner (AUS),2023-2023,11,11,0,535,163,48.63,494,108.29,2,2,-,50,24
DA Miller (SA),2023-2023,10,10,2,356,101,44.50,330,107.87,1,1,-,25,20
MR Marsh (AUS),2023-2023,10,10,1,441,177*,49.00,410,107.56,2,1,2,43,21
Q de Kock (SA),2023-2023,10,10,0,594,174,59.40,555,107.02,4,-,-,57,21
Shubman Gill (IND),2023-2023,9,9,1,354,92,44.25,331,106.94,-,4,-,41,12
R Ravindra (NZ),2023-2023,10,10,1,578,123*,64.22,543,106.44,3,2,-,55,17
AL Phehlukwayo (SA),2023-2023,1,1,1,39,39*,-,37,105.4,-,-,-,1,3
RR Hendricks (SA),2023-2023,2,2,0,97,85,48.50,94,103.19,-,1,-,10,3
S Samarawickrama (SL),2023-2023,9,9,2,373,108,53.28,365,102.19,1,2,1,36,4
RA Jadeja (IND),2023-2023,11,5,2,120,39*,40.00,118,101.69,-,-,-,7,3
DP Conway (NZ),2023-2023,10,10,1,372,152*,41.33,366,101.63,1,-,1,54,4
MDKJ Perera (SL),2023-2023,7,7,0,149,78,21.28,147,101.36,-,2,1,25,2
AU Rashid (ENG),2023-2023,9,9,3,92,20,15.33,91,101.09,-,-,-,7,2
