Player,Runs,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,Scorecard
PJ Cummins,37,14,2,4,264.28,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
MA Wood,43*,17,2,5,252.94,England,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
GJ Maxwell,106,44,9,8,240.9,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
DA Miller,34*,15,1,4,226.66,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
MJ Santner,36*,17,3,2,211.76,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
MS Chapman,25*,12,2,1,208.33,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
AK Markram,106,54,14,3,196.29,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
KL Rahul,39*,20,5,2,195.0,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Rashid Khan,35*,18,2,3,194.44,Afghanistan,v Australia,Wankhede,07 Nov 2023,ODI # 4696
RA Jadeja,29*,15,3,1,193.33,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
DA Miller,39*,21,3,2,185.71,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
H Klaasen,90,49,2,8,183.67,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
MDKJ Perera,51,28,9,2,182.14,Sri Lanka,v New Zealand,Bengaluru,09 Nov 2023,ODI # 4698
BKG Mendis,76,42,4,8,180.95,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
M Jansen,75*,42,3,6,178.57,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
DA Miller,53,30,2,4,176.66,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
HC Brook,30,17,2,2,176.47,England,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
Mujeeb Ur Rahman,28,16,3,1,175.0,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
GJ Maxwell,41,24,5,2,170.83,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
RG Sharma,40,24,6,2,166.66,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
AAP Atkinson,35,21,7,-,166.66,England,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
DP Conway,28,17,6,-,164.7,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
GD Phillips,41,25,4,2,164.0,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
H Klaasen,109,67,12,4,162.68,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
TM Head,109,67,10,7,162.68,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
RG Sharma,47,29,4,4,162.06,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
DJ Mitchell,29,18,4,1,161.11,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
DA Warner,29,18,1,4,161.11,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
H Klaasen,32,20,1,3,160.0,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
KL Rahul,102,64,11,4,159.37,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
Shubman Gill,51,32,3,4,159.37,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
BKG Mendis,122,77,14,6,158.44,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
GJ Maxwell,201*,128,21,10,157.03,Australia,v Afghanistan,Wankhede,07 Nov 2023,ODI # 4696
HC Brook,25,16,4,1,156.25,England,v New Zealand,Ahmedabad,05 Oct 2023,ODI # 4658
RG Sharma,131,84,16,5,155.95,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
Fakhar Zaman,126*,81,8,11,155.55,Pakistan,v New Zealand,Bengaluru,04 Nov 2023,ODI # 4692
MJ Santner,26*,17,-,2,152.94,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
RE van der Merwe,29,19,3,1,152.63,Netherlands,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
A Zampa,29,19,4,-,152.63,Australia,v England,Ahmedabad,04 Nov 2023,ODI # 4693
Haris Rauf,35,23,3,3,152.17,Pakistan,v England,Eden Gardens,11 Nov 2023,ODI # 4701
RG Sharma,47,31,4,3,151.61,India,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
SS Iyer,105,70,4,8,150.0,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
JC Buttler,27,18,3,1,150.0,England,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
JDS Neesham,58,39,3,3,148.71,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
Iftikhar Ahmed,40,27,2,4,148.14,Pakistan,v Afghanistan,Chennai,23 Oct 2023,ODI # 4679
GJ Maxwell,31*,21,4,2,147.61,Australia,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
SS Iyer,82,56,3,6,146.42,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
RA Jadeja,35,24,1,1,145.83,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
Mehidy Hasan Miraz,29,20,4,-,145.0,Bangladesh,v Australia,Pune,11 Nov 2023,ODI # 4700
MS Chapman,39,27,7,-,144.44,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
Rahmanullah Gurbaz,80,57,8,4,140.35,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
DJ Mitchell,43,31,5,2,138.7,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
AT Nidamanuru,54,39,1,6,138.46,Netherlands,v India,Bengaluru,12 Nov 2023,ODI # 4702
RG Sharma,86,63,6,6,136.5,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
SS Iyer,128*,94,10,5,136.17,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
JP Inglis,38,28,4,1,135.71,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
MR Marsh,177*,132,17,9,134.09,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
DJ Mitchell,89*,67,6,4,132.83,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
M Labuschagne,62,47,7,2,131.91,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
DA Warner,163,124,14,9,131.45,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
DJ Malan,140,107,16,5,130.84,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
Saud Shakeel,68,52,9,1,130.76,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
R Ravindra,116,89,9,5,130.33,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
Iftikhar Ahmed,26,20,-,3,130.0,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
TM Head,62,48,9,2,129.16,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
BA Stokes,108,84,6,6,128.57,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
R Ravindra,123*,96,11,5,128.12,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
Mahmudullah,46,36,3,3,127.77,Bangladesh,v India,Pune,19 Oct 2023,ODI # 4674
AK Markram,56,44,7,1,127.27,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
Shakib Al Hasan,82,65,12,2,126.15,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
DP Conway,152*,121,19,3,125.61,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
DA Warner,81,65,5,6,124.61,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
Q de Kock,174,140,15,7,124.28,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
GD Phillips,41,33,4,2,124.24,New Zealand,v India,Wankhede,15 Nov 2023,ODI # 4703
Mohammad Rizwan,26*,21,4,-,123.8,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
R Ravindra,42,34,3,3,123.52,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
Rahmanullah Gurbaz,65,53,9,1,122.64,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
KIC Asalanka,79,65,8,4,121.53,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
S Samarawickrama,108,89,11,2,121.34,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
Shubman Gill,80*,66,8,3,121.21,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
JE Root,82,68,8,1,120.58,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
AT Nidamanuru,41*,34,2,3,120.58,Netherlands,v England,Pune,08 Nov 2023,ODI # 4697
S Samarawickrama,65*,54,7,1,120.37,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
KS Williamson,95,79,10,2,120.25,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
GD Phillips,60,50,4,4,120.0,New Zealand,v South Africa,Pune,01 Nov 2023,ODI # 4689
RG Sharma,48,40,7,2,120.0,India,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
Shadab Khan,43,36,3,2,119.44,Pakistan,v South Africa,Chennai,27 Oct 2023,ODI # 4683
Q de Kock,100,84,12,3,119.04,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
Tanzid Hasan,51,43,5,3,118.6,Bangladesh,v India,Pune,19 Oct 2023,ODI # 4674
M Jansen,26,22,3,1,118.18,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
DJ Malan,87,74,10,2,117.56,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
Azmatullah Omarzai,73*,63,6,3,115.87,Afghanistan,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
TWM Latham,53,46,6,1,115.21,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
Litton Das,76,66,7,2,115.15,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
Mohammad Rizwan,46,40,5,-,115.0,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
RG Sharma,46,40,4,4,115.0,India,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
R Ravindra,108,94,15,1,114.89,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
Mohammad Rizwan,31,27,4,1,114.81,Pakistan,v South Africa,Chennai,27 Oct 2023,ODI # 4683
Mahmudullah,32,28,1,3,114.28,Bangladesh,v Australia,Pune,11 Nov 2023,ODI # 4700
TM Head,137,120,15,4,114.16,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
