Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Naveen-ul-Haq (AFG),2023-2023,8,5,1,16,9*,4.0,25,64.0,-,-,2,2,0
M Theekshana (SL),2023-2023,8,6,2,100,38*,25.0,185,54.05,-,-,2,11,1
RE van der Merwe (NED),2023-2023,8,8,0,68,29,8.5,85,80.0,-,-,2,4,3
PA van Meekeren (NED),2023-2023,9,8,2,26,7,4.33,54,48.14,-,-,2,3,0
SA Edwards (NED),2023-2023,9,9,2,259,78*,37.0,298,86.91,-,2,2,22,3
Najmul Hossain Shanto (BAN),2023-2023,9,9,1,222,90,27.75,289,76.81,-,2,2,25,1
P Nissanka (SL),2023-2023,9,9,1,332,77*,41.5,371,89.48,-,4,2,44,3
MR Marsh (AUS),2023-2023,10,10,1,441,177*,49.0,410,107.56,2,1,2,43,21
AT Carey (AUS),2023-2023,1,1,0,-,0,0.0,2,0.0,-,-,1,0,0
Usama Mir (PAK),2023-2023,4,1,0,-,0,0.0,3,0.0,-,-,1,0,0
MADI Hemantha (SL),2023-2023,2,2,1,4,4*,4.0,4,100.0,-,-,1,1,0
Ishan Kishan (IND),2023-2023,2,2,0,47,47,23.5,48,97.91,-,-,1,5,2
FDM Karunaratne (SL),2023-2023,2,2,0,15,15,7.5,22,68.18,-,-,1,1,0
JDS Neesham (NZ),2023-2023,3,2,0,58,58,29.0,47,123.4,-,1,1,3,3
AAP Atkinson (ENG),2023-2023,3,3,1,37,35,18.5,23,160.86,-,-,1,7,0
Fazalhaq Farooqi (AFG),2023-2023,6,3,2,2,2*,2.0,9,22.22,-,-,1,0,0
Hasan Ali (PAK),2023-2023,6,3,0,20,12,6.66,28,71.42,-,-,1,4,0
L Ngidi (SA),2023-2023,8,3,1,11,7*,5.5,41,26.82,-,-,1,0,0
DN Wellalage (SL),2023-2023,3,3,0,12,10,4.0,18,66.66,-,-,1,1,0
PVD Chameera (SL),2023-2023,4,4,0,6,4,1.5,39,15.38,-,-,1,0,0
MJ Henry (NZ),2023-2023,7,4,2,19,10*,9.5,22,86.36,-,-,1,1,1
AD Mathews (SL),2023-2023,5,4,0,51,23,12.75,78,65.38,-,-,1,4,1
CAK Rajitha (SL),2023-2023,6,4,0,52,33,13.0,57,91.22,-,-,1,6,1
JR Hazlewood (AUS),2023-2023,11,5,3,4,2,2.0,5,80.0,-,-,1,0,0
TM Head (AUS),2023-2023,6,6,0,329,137,54.83,258,127.51,2,1,1,37,13
LS Livingstone (ENG),2023-2023,6,6,0,60,27,10.0,94,63.82,-,-,1,6,0
BA Stokes (ENG),2023-2023,6,6,0,304,108,50.66,341,89.14,1,2,1,26,11
WA Young (NZ),2023-2023,6,6,0,206,70,34.33,246,83.73,-,2,1,23,6
A Zampa (AUS),2023-2023,11,6,3,48,29,16.0,60,80.0,-,-,1,5,0
MDKJ Perera (SL),2023-2023,7,7,0,149,78,21.28,147,101.36,-,2,1,25,2
MA Wood (ENG),2023-2023,7,7,4,85,43*,28.33,65,130.76,-,-,1,7,5
Abdullah Shafique (PAK),2023-2023,8,8,0,336,113,42.0,360,93.33,1,3,1,36,9
T Bavuma (SA),2023-2023,8,8,0,145,35,18.12,197,73.6,-,-,1,18,3
JP Inglis (AUS),2023-2023,10,8,0,159,58,19.87,168,94.64,-,1,1,17,3
M Jansen (SA),2023-2023,9,8,3,157,75*,31.4,142,110.56,-,1,1,9,9
TWM Latham (NZ),2023-2023,10,8,2,155,68,25.83,170,91.17,-,2,1,12,3
MA Starc (AUS),2023-2023,10,8,1,87,28,12.42,151,57.61,-,-,1,7,1
LV van Beek (NED),2023-2023,8,8,2,140,59,23.33,179,78.21,-,1,1,9,3
CR Woakes (ENG),2023-2023,8,8,1,131,51,18.71,155,84.51,-,1,1,15,2
CN Ackermann (NED),2023-2023,9,9,0,216,69,24.0,263,82.12,-,1,1,27,0
JM Bairstow (ENG),2023-2023,9,9,0,215,59,23.88,243,88.47,-,2,1,27,3
Litton Das (BAN),2023-2023,9,9,0,284,76,31.55,354,80.22,-,2,1,32,5
GJ Maxwell (AUS),2023-2023,9,9,3,400,201*,66.66,266,150.37,2,-,1,40,22
MP O'Dowd (NED),2023-2023,9,9,0,138,42,15.33,200,69.0,-,-,1,22,2
Rahmanullah Gurbaz (AFG),2023-2023,9,9,0,280,80,31.11,283,98.93,-,2,1,31,9
JE Root (ENG),2023-2023,9,9,0,276,82,30.66,312,88.46,-,3,1,21,2
S Samarawickrama (SL),2023-2023,9,9,2,373,108,53.28,365,102.19,1,2,1,36,4
Tanzid Hasan (BAN),2023-2023,9,9,0,145,51,16.11,152,95.39,-,1,1,22,3
DP Conway (NZ),2023-2023,10,10,1,372,152*,41.33,366,101.63,1,-,1,54,4
SPD Smith (AUS),2023-2023,10,10,1,302,71,33.55,373,80.96,-,2,1,30,2
SS Iyer (IND),2023-2023,11,11,3,530,128*,66.25,468,113.24,2,3,1,37,24
V Kohli (IND),2023-2023,11,11,3,765,117,95.62,847,90.31,3,6,1,68,9
RG Sharma (IND),2023-2023,11,11,0,597,131,54.27,474,125.94,1,3,1,66,31
