Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,50+,0,4s,6s
V Kohli (IND),2023-2023,11,11,3,765,117,95.62,847,90.31,3,6,9,1,68,9
R Ravindra (NZ),2023-2023,10,10,1,578,123*,64.22,543,106.44,3,2,5,-,55,17
SS Iyer (IND),2023-2023,11,11,3,530,128*,66.25,468,113.24,2,3,5,1,37,24
Abdullah Shafique (PAK),2023-2023,8,8,0,336,113,42.0,360,93.33,1,3,4,1,36,9
Shubman Gill (IND),2023-2023,9,9,1,354,92,44.25,331,106.94,-,4,4,-,41,12
P Nissanka (SL),2023-2023,9,9,1,332,77*,41.5,371,89.48,-,4,4,2,44,3
Babar Azam (PAK),2023-2023,9,9,1,320,74,40.0,386,82.9,-,4,4,-,32,4
DJ Mitchell (NZ),2023-2023,10,9,1,552,134,69.0,497,111.06,2,2,4,-,48,22
Q de Kock (SA),2023-2023,10,10,0,594,174,59.4,555,107.02,4,-,4,-,57,21
AK Markram (SA),2023-2023,10,10,1,406,106,45.11,366,110.92,1,3,4,-,44,9
HE van der Dussen (SA),2023-2023,10,10,1,448,133,49.77,530,84.52,2,2,4,-,39,8
RG Sharma (IND),2023-2023,11,11,0,597,131,54.27,474,125.94,1,3,4,1,66,31
DA Warner (AUS),2023-2023,11,11,0,535,163,48.63,494,108.29,2,2,4,-,50,24
KS Williamson (NZ),2023-2023,4,4,1,256,95,85.33,274,93.43,-,3,3,-,28,4
TM Head (AUS),2023-2023,6,6,0,329,137,54.83,258,127.51,2,1,3,1,37,13
BA Stokes (ENG),2023-2023,6,6,0,304,108,50.66,341,89.14,1,2,3,1,26,11
Azmatullah Omarzai (AFG),2023-2023,9,8,3,353,97*,70.6,361,97.78,-,3,3,-,26,13
Hashmatullah Shahidi (AFG),2023-2023,9,9,3,310,80,51.66,424,73.11,-,3,3,-,25,2
Rahmat Shah (AFG),2023-2023,9,9,1,320,77*,40.0,419,76.37,-,3,3,-,28,2
S Samarawickrama (SL),2023-2023,9,9,2,373,108,53.28,365,102.19,1,2,3,1,36,4
DJ Malan (ENG),2023-2023,9,9,0,404,140,44.88,400,101.0,1,2,3,-,50,9
JE Root (ENG),2023-2023,9,9,0,276,82,30.66,312,88.46,-,3,3,1,21,2
M Labuschagne (AUS),2023-2023,11,10,1,362,71,40.22,512,70.7,-,3,3,-,31,2
MR Marsh (AUS),2023-2023,10,10,1,441,177*,49.0,410,107.56,2,1,3,2,43,21
KL Rahul (IND),2023-2023,11,10,4,452,102,75.33,498,90.76,1,2,3,-,38,9
