Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Q de Kock (SA),2023-2023,10,10,0,594,174,59.4,555,107.02,4,-,-,57,21
R Ravindra (NZ),2023-2023,10,10,1,578,123*,64.22,543,106.44,3,2,-,55,17
V Kohli (IND),2023-2023,11,11,3,765,117,95.62,847,90.31,3,6,1,68,9
TM Head (AUS),2023-2023,6,6,0,329,137,54.83,258,127.51,2,1,1,37,13
GJ Maxwell (AUS),2023-2023,9,9,3,400,201*,66.66,266,150.37,2,-,1,40,22
DJ Mitchell (NZ),2023-2023,10,9,1,552,134,69.0,497,111.06,2,2,-,48,22
MR Marsh (AUS),2023-2023,10,10,1,441,177*,49.0,410,107.56,2,1,2,43,21
HE van der Dussen (SA),2023-2023,10,10,1,448,133,49.77,530,84.52,2,2,-,39,8
SS Iyer (IND),2023-2023,11,11,3,530,128*,66.25,468,113.24,2,3,1,37,24
DA Warner (AUS),2023-2023,11,11,0,535,163,48.63,494,108.29,2,2,-,50,24
Fakhar Zaman (PAK),2023-2023,4,4,1,220,126*,73.33,179,122.9,1,1,-,14,18
BA Stokes (ENG),2023-2023,6,6,0,304,108,50.66,341,89.14,1,2,1,26,11
Mahmudullah (BAN),2023-2023,8,7,1,328,111,54.66,358,91.62,1,1,-,28,14
Abdullah Shafique (PAK),2023-2023,8,8,0,336,113,42.0,360,93.33,1,3,1,36,9
KIC Asalanka (SL),2023-2023,9,8,0,288,108,36.0,338,85.2,1,1,-,19,11
Mohammad Rizwan (PAK),2023-2023,9,8,2,395,131*,65.83,414,95.41,1,1,-,38,5
Ibrahim Zadran (AFG),2023-2023,9,9,1,376,129*,47.0,493,76.26,1,1,-,39,5
DJ Malan (ENG),2023-2023,9,9,0,404,140,44.88,400,101.0,1,2,-,50,9
BKG Mendis (SL),2023-2023,9,9,0,294,122,32.66,258,113.95,1,1,-,27,15
S Samarawickrama (SL),2023-2023,9,9,2,373,108,53.28,365,102.19,1,2,1,36,4
DP Conway (NZ),2023-2023,10,10,1,372,152*,41.33,366,101.63,1,-,1,54,4
H Klaasen (SA),2023-2023,10,10,1,373,109,41.44,280,133.21,1,1,-,28,19
AK Markram (SA),2023-2023,10,10,1,406,106,45.11,366,110.92,1,3,-,44,9
DA Miller (SA),2023-2023,10,10,2,356,101,44.5,330,107.87,1,1,-,25,20
KL Rahul (IND),2023-2023,11,10,4,452,102,75.33,498,90.76,1,2,-,38,9
RG Sharma (IND),2023-2023,11,11,0,597,131,54.27,474,125.94,1,3,1,66,31
