Player,Runs,Mins,Balls,4s,6s,4+6,SR,Team,Opposition,Ground,Match Date,Scorecard
GJ Maxwell,201,181,128,21,10,144,157.03,Australia,v Afghanistan,Wankhede,07 Nov 2023,ODI # 4696
MR Marsh,177,177,132,17,9,122,134.09,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
DA Warner,163,180,124,14,9,110,131.45,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
Q de Kock,174,192,140,15,7,102,124.28,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
Fakhar Zaman,126,103,81,8,11,98,155.55,Pakistan,v New Zealand,Bengaluru,04 Nov 2023,ODI # 4692
DP Conway,152,147,121,19,3,94,125.61,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
DJ Malan,140,106,107,16,5,94,130.84,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
RG Sharma,131,111,84,16,5,94,155.95,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
MR Marsh,121,139,108,10,9,94,112.03,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
BKG Mendis,122,124,77,14,6,92,158.44,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
GJ Maxwell,106,53,44,9,8,84,240.9,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
TM Head,137,166,120,15,4,84,114.16,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
TM Head,109,94,67,10,7,82,162.68,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
DJ Mitchell,134,180,119,9,7,78,112.6,New Zealand,v India,Wankhede,15 Nov 2023,ODI # 4703
R Ravindra,123,141,96,11,5,74,128.12,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
AK Markram,106,84,54,14,3,74,196.29,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
H Klaasen,109,119,67,12,4,72,162.68,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
SS Iyer,128,145,94,10,5,70,136.17,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
Mahmudullah,111,150,111,11,4,68,100.0,Bangladesh,v South Africa,Wankhede,24 Oct 2023,ODI # 4680
KL Rahul,102,98,64,11,4,68,159.37,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
Q de Kock,100,140,84,12,3,66,119.04,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
DJ Mitchell,130,192,127,9,5,66,102.36,New Zealand,v India,Dharamsala,22 Oct 2023,ODI # 4678
R Ravindra,116,137,89,9,5,66,130.33,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
HE van der Dussen,133,172,118,9,5,66,112.71,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
R Ravindra,108,170,94,15,1,66,114.89,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
HE van der Dussen,108,161,110,13,2,64,98.18,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
BKG Mendis,76,55,42,4,8,64,180.95,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
SS Iyer,105,114,70,4,8,64,150.0,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Q de Kock,109,147,106,8,5,62,102.83,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
DA Warner,104,182,93,11,3,62,111.82,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
DA Miller,101,138,116,8,5,62,87.06,South Africa,v Australia,Eden Gardens,16 Nov 2023,ODI # 4704
RG Sharma,86,91,63,6,6,60,136.5,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
Shakib Al Hasan,82,128,65,12,2,60,126.15,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
BA Stokes,108,136,84,6,6,60,128.57,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
Abdullah Shafique,113,150,103,10,3,58,109.7,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
RG Sharma,87,162,101,10,3,58,86.13,India,v England,Lucknow,29 Oct 2023,ODI # 4686
Q de Kock,114,176,116,10,3,58,98.27,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
KIC Asalanka,79,83,65,8,4,56,121.53,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
S Samarawickrama,108,139,89,11,2,56,121.34,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
Rahmanullah Gurbaz,80,87,57,8,4,56,140.35,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
H Klaasen,90,94,49,2,8,56,183.67,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
DA Warner,81,77,65,5,6,56,124.61,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
Shubman Gill,92,136,92,11,2,56,100.0,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
BA Stokes,84,85,76,11,2,56,110.52,England,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
RR Hendricks,85,111,75,9,3,54,113.33,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
Fakhar Zaman,81,126,74,3,7,54,109.45,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
KIC Asalanka,108,159,105,6,5,54,102.85,Sri Lanka,v Bangladesh,Delhi,06 Nov 2023,ODI # 4695
KS Williamson,95,111,79,10,2,52,120.25,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
DJ Malan,87,92,74,10,2,52,117.56,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
Mohammad Rizwan,131,193,121,8,3,50,108.26,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Ibrahim Zadran,129,217,143,8,3,50,90.2,Afghanistan,v Australia,Wankhede,07 Nov 2023,ODI # 4696
Shubman Gill,80,116,66,8,3,50,121.21,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
DJ Mitchell,89,103,67,6,4,48,132.83,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
MDKJ Perera,78,123,82,12,-,48,95.12,Sri Lanka,v Australia,Lucknow,16 Oct 2023,ODI # 4671
V Kohli,103,113,97,6,4,48,106.18,India,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
M Jansen,75,72,42,3,6,48,178.57,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
Abdullah Shafique,68,94,69,9,2,48,98.55,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
SS Iyer,82,84,56,3,6,48,146.42,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
