Player,Runs,Mins,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,Scorecard
Fakhar Zaman,126,103,81,8,11,155.55,Pakistan,v New Zealand,Bengaluru,04 Nov 2023,ODI # 4692
GJ Maxwell,201,181,128,21,10,157.03,Australia,v Afghanistan,Wankhede,07 Nov 2023,ODI # 4696
DA Warner,163,180,124,14,9,131.45,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
MR Marsh,121,139,108,10,9,112.03,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
MR Marsh,177,177,132,17,9,134.09,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
BKG Mendis,76,55,42,4,8,180.95,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
H Klaasen,90,94,49,2,8,183.67,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
GJ Maxwell,106,53,44,9,8,240.9,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
SS Iyer,105,114,70,4,8,150.0,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Q de Kock,174,192,140,15,7,124.28,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
TM Head,109,94,67,10,7,162.68,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
Fakhar Zaman,81,126,74,3,7,109.45,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
DJ Mitchell,134,180,119,9,7,112.6,New Zealand,v India,Wankhede,15 Nov 2023,ODI # 4703
BKG Mendis,122,124,77,14,6,158.44,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
RG Sharma,86,91,63,6,6,136.5,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
M Jansen,75,72,42,3,6,178.57,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
DA Warner,81,77,65,5,6,124.61,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
SS Iyer,82,84,56,3,6,146.42,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
BA Stokes,108,136,84,6,6,128.57,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
AT Nidamanuru,54,65,39,1,6,138.46,Netherlands,v India,Bengaluru,12 Nov 2023,ODI # 4702
R Ravindra,123,141,96,11,5,128.12,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
DJ Malan,140,106,107,16,5,130.84,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
RG Sharma,131,111,84,16,5,155.95,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
Q de Kock,109,147,106,8,5,102.83,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
MA Wood,43,25,17,2,5,252.94,England,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
DJ Mitchell,130,192,127,9,5,102.36,New Zealand,v India,Dharamsala,22 Oct 2023,ODI # 4678
R Ravindra,116,137,89,9,5,130.33,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
HE van der Dussen,133,172,118,9,5,112.71,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
KIC Asalanka,108,159,105,6,5,102.85,Sri Lanka,v Bangladesh,Delhi,06 Nov 2023,ODI # 4695
SS Iyer,128,145,94,10,5,136.17,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
DA Miller,101,138,116,8,5,87.06,South Africa,v Australia,Eden Gardens,16 Nov 2023,ODI # 4704
KIC Asalanka,79,83,65,8,4,121.53,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
Azmatullah Omarzai,62,82,69,2,4,89.85,Afghanistan,v India,Delhi,11 Oct 2023,ODI # 4666
DJ Mitchell,89,103,67,6,4,132.83,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
Rahmanullah Gurbaz,80,87,57,8,4,140.35,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
GD Phillips,71,109,80,4,4,88.75,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
V Kohli,103,113,97,6,4,106.18,India,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
H Klaasen,109,119,67,12,4,162.68,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
RG Sharma,46,44,40,4,4,115.0,India,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
Iftikhar Ahmed,40,40,27,2,4,148.14,Pakistan,v Afghanistan,Chennai,23 Oct 2023,ODI # 4679
Mahmudullah,111,150,111,11,4,100.0,Bangladesh,v South Africa,Wankhede,24 Oct 2023,ODI # 4680
DA Miller,34,26,15,1,4,226.66,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
PJ Cummins,37,23,14,2,4,264.28,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
DA Miller,53,48,30,2,4,176.66,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
GD Phillips,60,87,50,4,4,120.0,New Zealand,v South Africa,Pune,01 Nov 2023,ODI # 4689
KL Rahul,102,98,64,11,4,159.37,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
Shubman Gill,51,49,32,3,4,159.37,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
RG Sharma,47,40,29,4,4,162.06,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
DA Warner,29,29,18,1,4,161.11,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
TM Head,137,166,120,15,4,114.16,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
DP Conway,152,147,121,19,3,125.61,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
Q de Kock,100,140,84,12,3,119.04,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
H Klaasen,32,30,20,1,3,160.0,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
MD Shanaka,68,86,62,6,3,109.67,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
AK Markram,106,84,54,14,3,196.29,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
Mohammad Rizwan,131,193,121,8,3,108.26,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Abdullah Shafique,113,150,103,10,3,109.7,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
A Dutt,23,14,9,-,3,255.55,Netherlands,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
WA Young,54,98,64,4,3,84.37,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
Mahmudullah,46,60,36,3,3,127.77,Bangladesh,v India,Pune,19 Oct 2023,ODI # 4674
Tanzid Hasan,51,75,43,5,3,118.6,Bangladesh,v India,Pune,19 Oct 2023,ODI # 4674
Iftikhar Ahmed,26,22,20,-,3,130.0,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
RR Hendricks,85,111,75,9,3,113.33,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
DA Warner,104,182,93,11,3,111.82,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
AK Markram,91,151,93,7,3,97.84,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
JDS Neesham,58,64,39,3,3,148.71,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
RG Sharma,87,162,101,10,3,86.13,India,v England,Lucknow,29 Oct 2023,ODI # 4686
Azmatullah Omarzai,73,80,63,6,3,115.87,Afghanistan,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
Q de Kock,114,176,116,10,3,98.27,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
BA Stokes,64,128,90,2,3,71.11,England,v Australia,Ahmedabad,04 Nov 2023,ODI # 4693
Rashid Khan,35,25,18,2,3,194.44,Afghanistan,v Australia,Wankhede,07 Nov 2023,ODI # 4696
Ibrahim Zadran,129,217,143,8,3,90.2,Afghanistan,v Australia,Wankhede,07 Nov 2023,ODI # 4696
AT Nidamanuru,41,47,34,2,3,120.58,Netherlands,v England,Pune,08 Nov 2023,ODI # 4697
R Ravindra,42,61,34,3,3,123.52,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
Q de Kock,41,58,47,2,3,87.23,South Africa,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
AL Phehlukwayo,39,46,37,1,3,105.4,South Africa,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
Azmatullah Omarzai,97,173,107,7,3,90.65,Afghanistan,v South Africa,Ahmedabad,10 Nov 2023,ODI # 4699
Mahmudullah,32,34,28,1,3,114.28,Bangladesh,v Australia,Pune,11 Nov 2023,ODI # 4700
Haris Rauf,35,27,23,3,3,152.17,Pakistan,v England,Eden Gardens,11 Nov 2023,ODI # 4701
Shubman Gill,80,116,66,8,3,121.21,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
RG Sharma,47,44,31,4,3,151.61,India,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
JC Buttler,43,48,42,2,2,102.38,England,v New Zealand,Ahmedabad,05 Oct 2023,ODI # 4658
BFW de Leede,67,92,68,6,2,98.52,Netherlands,v Pakistan,Hyderabad,06 Oct 2023,ODI # 4659
DA Miller,39,36,21,3,2,185.71,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
HE van der Dussen,108,161,110,13,2,98.18,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
KL Rahul,97,180,115,8,2,84.34,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
DJ Mitchell,48,67,47,5,2,102.12,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
MJ Santner,36,25,17,3,2,211.76,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
WA Young,70,106,80,7,2,87.5,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
Litton Das,76,99,66,7,2,115.15,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
S Samarawickrama,108,139,89,11,2,121.34,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
Ishan Kishan,47,78,47,5,2,100.0,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
Mahmudullah,41,58,49,2,2,83.67,Bangladesh,v New Zealand,Chennai,13 Oct 2023,ODI # 4668
Mushfiqur Rahim,66,93,75,6,2,88.0,Bangladesh,v New Zealand,Chennai,13 Oct 2023,ODI # 4668
Shakib Al Hasan,40,75,51,3,2,78.43,Bangladesh,v New Zealand,Chennai,13 Oct 2023,ODI # 4668
Taskin Ahmed,17,25,19,-,2,89.47,Bangladesh,v New Zealand,Chennai,13 Oct 2023,ODI # 4668
SS Iyer,53,80,62,3,2,85.48,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
Ikram Alikhil,58,92,66,3,2,87.87,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
GJ Maxwell,31,30,21,4,2,147.61,Australia,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
TWM Latham,68,114,74,3,2,91.89,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
