Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
R Ashwin (IND),2023-2023,1,10.0,1,60,34,1,1/34,34.00,3.4,60.0,-,-,-
JJ Bumrah (IND),2023-2023,11,91.5,9,551,373,20,4/39,18.65,4.06,27.5,1,-,-
Mohammad Nabi (AFG),2023-2023,9,61.3,4,369,254,8,3/28,31.75,4.13,46.1,-,-,-
KA Maharaj (SA),2023-2023,10,89.0,1,534,370,15,4/46,24.66,4.15,35.6,1,-,-
RA Jadeja (IND),2023-2023,11,93.3,4,561,398,16,5/33,24.87,4.25,35.0,-,1,-
V Kohli (IND),2023-2023,11,3.3,-,21,15,1,1/13,15.00,4.28,21.0,-,-,-
Kuldeep Yadav (IND),2023-2023,11,95.1,2,571,424,15,2/7,28.26,4.45,38.0,-,-,-
Rashid Khan (AFG),2023-2023,9,86.3,2,519,388,11,3/37,35.27,4.48,47.1,-,-,-
AK Markram (SA),2023-2023,10,18.3,1,111,85,1,1/23,85.00,4.59,111.0,-,-,-
Noor Ahmad (AFG),2023-2023,4,38.0,1,228,182,5,3/49,36.40,4.78,45.6,-,-,-
TM Head (AUS),2023-2023,6,21.0,-,126,101,2,2/21,50.50,4.8,63.0,-,-,-
GJ Maxwell (AUS),2023-2023,9,68.3,1,411,330,6,2/34,55.00,4.81,68.5,-,-,-
JR Hazlewood (AUS),2023-2023,11,93.1,8,559,449,16,3/38,28.06,4.81,34.9,-,-,-
AD Mathews (SL),2023-2023,5,22.1,2,133,107,6,2/14,17.83,4.82,22.1,-,-,-
MJ Santner (NZ),2023-2023,10,92.4,4,556,449,16,5/59,28.06,4.84,34.7,-,1,-
CN Ackermann (NED),2023-2023,9,47.2,2,284,234,5,2/39,46.80,4.94,56.8,-,-,-
K Rabada (SA),2023-2023,9,72.5,7,437,364,13,3/33,28.00,4.99,33.6,-,-,-
Najmul Hossain Shanto (BAN),2023-2023,9,1.0,-,6,5,-,-,-,5.0,-,-,-,-
DJ Willey (ENG),2023-2023,6,51.0,6,306,259,11,3/45,23.54,5.07,27.8,-,-,-
AL Phehlukwayo (SA),2023-2023,1,7.0,-,42,36,1,1/36,36.00,5.14,42.0,-,-,-
AU Rashid (ENG),2023-2023,9,79.4,1,478,413,15,3/42,27.53,5.18,31.8,-,-,-
Mohammed Shami (IND),2023-2023,7,48.5,4,293,257,24,7/57,10.70,5.26,12.2,1,3,-
Shakib Al Hasan (BAN),2023-2023,7,62.3,1,375,329,9,3/30,36.55,5.26,41.6,-,-,-
