Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
RG Sharma (IND),2023-2023,11,0.5,-,5,7,1,1/7,7.00,8.40,5.00,-,-,-
Mohammed Shami (IND),2023-2023,7,48.5,4,293,257,24,7/57,10.70,5.26,12.20,1,3,-
G Coetzee (SA),2023-2023,8,63.3,1,381,396,20,4/44,19.80,6.23,19.05,1,-,-
HH Pandya (IND),2023-2023,4,16.3,-,99,113,5,2/34,22.60,6.84,19.80,-,-,-
Tanzim Hasan Sakib (BAN),2023-2023,1,10.0,-,60,80,3,3/80,26.66,8.00,20.00,-,-,-
RJW Topley (ENG),2023-2023,3,27.4,2,166,183,8,4/43,22.87,6.61,20.75,1,-,-
V Kohli (IND),2023-2023,11,3.3,-,21,15,1,1/13,15.00,4.28,21.00,-,-,-
CBRLS Kumara (SL),2023-2023,2,11.0,-,66,82,3,3/35,27.33,7.45,22.00,-,-,-
AD Mathews (SL),2023-2023,5,22.1,2,133,107,6,2/14,17.83,4.82,22.16,-,-,-
D Madushanka (SL),2023-2023,9,78.2,4,470,525,21,5/80,25.00,6.70,22.38,1,1,-
Mohammad Wasim (PAK),2023-2023,4,38.1,2,229,215,10,3/31,21.50,5.63,22.90,-,-,-
Mahedi Hasan (BAN),2023-2023,3,24.0,-,144,149,6,4/71,24.83,6.20,24.00,1,-,-
M Jansen (SA),2023-2023,9,69.0,3,414,450,17,3/31,26.47,6.52,24.35,-,-,-
A Zampa (AUS),2023-2023,11,96.0,1,576,515,23,4/8,22.39,5.36,25.04,3,-,-
BFW de Leede (NED),2023-2023,9,67.0,-,402,487,16,4/62,30.43,7.26,25.12,1,-,-
T Shamsi (SA),2023-2023,4,37.5,-,227,212,9,4/60,23.55,5.60,25.22,1,-,-
LB Williams (SA),2023-2023,1,8.4,1,52,56,2,2/56,28.00,6.46,26.00,-,-,-
Shaheen Shah Afridi (PAK),2023-2023,9,81.0,3,486,481,18,5/54,26.72,5.93,27.00,-,1,-
JJ Bumrah (IND),2023-2023,11,91.5,9,551,373,20,4/39,18.65,4.06,27.55,1,-,-
DJ Willey (ENG),2023-2023,6,51.0,6,306,259,11,3/45,23.54,5.07,27.81,-,-,-
Hasan Mahmud (BAN),2023-2023,2,14.0,-,84,132,3,2/67,44.00,9.42,28.00,-,-,-
TG Southee (NZ),2023-2023,4,33.0,-,198,256,7,3/100,36.57,7.75,28.28,-,-,-
MP Stoinis (AUS),2023-2023,6,19.0,-,114,143,4,2/40,35.75,7.52,28.50,-,-,-
Haris Rauf (PAK),2023-2023,9,79.0,1,474,533,16,3/43,33.31,6.74,29.62,-,-,-
MJ Henry (NZ),2023-2023,7,54.2,3,326,315,11,3/40,28.63,5.79,29.63,-,-,-
SA Abbott (AUS),2023-2023,1,10.0,-,60,61,2,2/61,30.50,6.10,30.00,-,-,-
Saqib Zulfiqar (NED),2023-2023,2,5.0,-,30,40,1,1/25,40.00,8.00,30.00,-,-,-
AU Rashid (ENG),2023-2023,9,79.4,1,478,413,15,3/42,27.53,5.18,31.86,-,-,-
LH Ferguson (NZ),2023-2023,7,54.0,3,324,301,10,3/19,30.10,5.57,32.40,-,-,-
Azmatullah Omarzai (AFG),2023-2023,9,38.0,1,228,270,7,2/52,38.57,7.10,32.57,-,-,-
MA Starc (AUS),2023-2023,10,87.0,2,522,528,16,3/34,33.00,6.06,32.62,-,-,-
CR Woakes (ENG),2023-2023,8,55.0,1,330,298,10,4/54,29.80,5.41,33.00,1,-,-
K Rabada (SA),2023-2023,9,72.5,7,437,364,13,3/33,28.00,4.99,33.61,-,-,-
Hasan Ali (PAK),2023-2023,6,51.0,2,306,321,9,4/71,35.66,6.29,34.00,1,-,-
MJ Santner (NZ),2023-2023,10,92.4,4,556,449,16,5/59,28.06,4.84,34.75,-,1,-
JR Hazlewood (AUS),2023-2023,11,93.1,8,559,449,16,3/38,28.06,4.81,34.93,-,-,-
RA Jadeja (IND),2023-2023,11,93.3,4,561,398,16,5/33,24.87,4.25,35.06,-,1,-
Mohammed Siraj (IND),2023-2023,11,82.3,6,495,469,14,3/16,33.50,5.68,35.35,-,-,-
LV van Beek (NED),2023-2023,8,70.5,1,425,476,12,4/74,39.66,6.72,35.41,1,-,-
KA Maharaj (SA),2023-2023,10,89.0,1,534,370,15,4/46,24.66,4.15,35.60,1,-,-
PJ Cummins (AUS),2023-2023,11,89.3,1,537,515,15,3/51,34.33,5.75,35.80,-,-,-
AAP Atkinson (ENG),2023-2023,3,24.0,-,144,146,4,2/45,36.50,6.08,36.00,-,-,-
