Player,Overs,Mdns,Runs,Wkts,SR,Team,Opposition,Ground,Match Date,Scorecard
A Zampa,3.0,-,8,4,4.5,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
Mohammed Shami,5.0,1,18,5,6.0,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
G Coetzee,4.0,-,35,3,8.0,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
Mohammed Shami,9.5,-,57,7,8.42,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
GD Phillips,3.0,-,17,2,9.0,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
Mohammed Shami,7.0,2,22,4,10.5,India,v England,Lucknow,29 Oct 2023,ODI # 4686
RA Jadeja,9.0,1,33,5,10.8,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
PA van Meekeren,7.2,-,23,4,11.0,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
MJ Santner,10.0,-,59,5,12.0,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
Shaheen Shah Afridi,10.0,1,54,5,12.0,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
Mohammed Shami,10.0,-,54,5,12.0,India,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
D Madushanka,10.0,-,80,5,12.0,Sri Lanka,v India,Wankhede,02 Nov 2023,ODI # 4690
Mahedi Hasan,8.0,-,71,4,12.0,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
A Zampa,8.0,1,47,4,12.0,Australia,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
MR Marsh,4.0,-,19,2,12.0,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
Mohammed Shami,4.0,-,18,2,12.0,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
AD Mathews,4.0,-,29,2,12.0,Sri Lanka,v New Zealand,Bengaluru,09 Nov 2023,ODI # 4698
BFW de Leede,9.0,-,62,4,13.5,Netherlands,v Pakistan,Hyderabad,06 Oct 2023,ODI # 4659
CAK Rajitha,9.0,-,50,4,13.5,Sri Lanka,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
KA Maharaj,9.0,-,46,4,13.5,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
JJ Bumrah,6.5,1,32,3,13.66,India,v England,Lucknow,29 Oct 2023,ODI # 4686
LH Ferguson,7.0,1,19,3,14.0,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
CBRLS Kumara,7.0,-,35,3,14.0,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
Mohammed Siraj,7.0,2,16,3,14.0,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
CR Woakes,9.3,-,54,4,14.25,England,v Australia,Ahmedabad,04 Nov 2023,ODI # 4693
D Madushanka,9.4,1,49,4,14.5,Sri Lanka,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
RJW Topley,10.0,1,43,4,15.0,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
Hasan Ali,10.0,-,71,4,15.0,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
JJ Bumrah,10.0,-,39,4,15.0,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
A Zampa,10.0,-,53,4,15.0,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
LV van Beek,10.0,-,74,4,15.0,Netherlands,v Australia,Delhi,25 Oct 2023,ODI # 4681
T Shamsi,10.0,-,60,4,15.0,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
Fazalhaq Farooqi,10.0,1,34,4,15.0,Afghanistan,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
G Coetzee,10.0,1,44,4,15.0,South Africa,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
MP Stoinis,5.0,-,40,2,15.0,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
L Ngidi,5.0,1,26,2,15.0,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
M Jansen,5.0,-,35,2,15.0,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
AD Mathews,5.0,1,14,2,15.0,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
DJ Willey,5.0,-,30,2,15.0,England,v Sri Lanka,Bengaluru,26 Oct 2023,ODI # 4682
TM Head,5.0,-,21,2,15.0,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
MJ Santner,7.4,-,39,3,15.33,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
Kuldeep Yadav,5.1,1,7,2,15.5,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
Shakib Al Hasan,8.0,-,30,3,16.0,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
K Rabada,8.0,1,33,3,16.0,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
Haris Rauf,8.0,-,83,3,16.0,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
M Jansen,8.0,1,31,3,16.0,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
AU Rashid,8.0,-,54,3,16.0,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
Mohammad Wasim,8.1,1,31,3,16.33,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
MM Ali,8.2,-,42,3,16.66,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
MJ Henry,8.3,-,40,3,17.0,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
LV van Beek,8.5,-,60,3,17.66,Netherlands,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
RJW Topley,8.5,-,88,3,17.66,England,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
Haris Rauf,9.0,-,43,3,18.0,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
Mehidy Hasan Miraz,9.0,3,25,3,18.0,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
G Coetzee,9.0,-,68,3,18.0,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
JR Hazlewood,9.0,1,38,3,18.0,Australia,v India,Chennai,08 Oct 2023,ODI # 4662
D Madushanka,9.0,2,38,3,18.0,Sri Lanka,v Australia,Lucknow,16 Oct 2023,ODI # 4671
M Jansen,9.0,1,43,3,18.0,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
Mehidy Hasan Miraz,9.0,-,60,3,18.0,Bangladesh,v Pakistan,Eden Gardens,31 Oct 2023,ODI # 4688
Shaheen Shah Afridi,9.0,1,23,3,18.0,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
HH Pandya,6.0,-,34,2,18.0,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
Shaheen Shah Afridi,6.0,-,36,2,18.0,Pakistan,v India,Ahmedabad,14 Oct 2023,ODI # 4669
Mohammad Nabi,6.0,-,16,2,18.0,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
Hasan Mahmud,6.0,-,67,2,18.0,Bangladesh,v South Africa,Wankhede,24 Oct 2023,ODI # 4680
Mohammed Siraj,6.0,1,29,2,18.0,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
Rashid Khan,9.3,1,37,3,19.0,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
Mohammad Nabi,9.3,1,28,3,19.0,Afghanistan,v Netherlands,Lucknow,03 Nov 2023,ODI # 4691
Shoriful Islam,6.2,1,34,2,19.0,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
PJ Cummins,9.4,-,51,3,19.33,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
G Coetzee,6.3,-,41,2,19.5,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
MJ Henry,10.0,1,48,3,20.0,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
RA Jadeja,10.0,2,28,3,20.0,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
Shoriful Islam,10.0,-,75,3,20.0,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
LH Ferguson,10.0,-,49,3,20.0,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
AU Rashid,10.0,1,42,3,20.0,England,v Afghanistan,Delhi,15 Oct 2023,ODI # 4670
Mujeeb Ur Rahman,10.0,1,51,3,20.0,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
A Dutt,10.0,-,44,3,20.0,Netherlands,v Sri Lanka,Lucknow,21 Oct 2023,ODI # 4676
Noor Ahmad,10.0,-,49,3,20.0,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
G Coetzee,10.0,-,62,3,20.0,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
