Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
JE Root,4,1,England,v Afghanistan,Delhi,15 Oct 2023,ODI # 4670
MA Starc,3,2,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
MM Ali,3,1,England,v Australia,Ahmedabad,04 Nov 2023,ODI # 4693
DJ Mitchell,3,1,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
BA Stokes,3,2,England,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
RA Jadeja,3,2,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Saqib Zulfiqar,2,1,Netherlands,v Pakistan,Hyderabad,06 Oct 2023,ODI # 4659
Fakhar Zaman,2,2,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
Tanzid Hasan,2,1,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
Towhid Hridoy,2,1,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
SS Iyer,2,1,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
V Kohli,2,1,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
BFW de Leede,2,1,Netherlands,v New Zealand,Hyderabad,09 Oct 2023,ODI # 4663
MJ Henry,2,2,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
Najmul Hossain Shanto,2,1,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
Abdullah Shafique,2,1,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
DA Warner,2,1,Australia,v South Africa,Lucknow,12 Oct 2023,ODI # 4667
T Bavuma,2,2,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
DP Conway,2,1,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
MJ Henry,2,1,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
DA Warner,2,1,Australia,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
DJ Mitchell,2,2,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
MJ Santner,2,2,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
Shubman Gill,2,1,India,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
Mahmudullah,2,2,Bangladesh,v India,Pune,19 Oct 2023,ODI # 4674
Usama Mir,2,1,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
MA Starc,2,2,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
JM Bairstow,2,1,England,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
K Rabada,2,2,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
V Kohli,2,1,India,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
Mohammad Nabi,2,1,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
G Coetzee,2,2,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
CN Ackermann,2,1,Netherlands,v Australia,Delhi,25 Oct 2023,ODI # 4681
A Dutt,2,1,Netherlands,v Australia,Delhi,25 Oct 2023,ODI # 4681
SA Engelbrecht,2,1,Netherlands,v Australia,Delhi,25 Oct 2023,ODI # 4681
H Klaasen,2,1,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
KA Maharaj,2,1,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
Babar Azam,2,2,Pakistan,v South Africa,Chennai,27 Oct 2023,ODI # 4683
TA Boult,2,1,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
GD Phillips,2,1,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
JR Hazlewood,2,2,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
M Labuschagne,2,2,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
Mehidy Hasan Miraz,2,1,Bangladesh,v Netherlands,Eden Gardens,28 Oct 2023,ODI # 4685
Shakib Al Hasan,2,1,Bangladesh,v Netherlands,Eden Gardens,28 Oct 2023,ODI # 4685
FDM Karunaratne,2,2,Sri Lanka,v Afghanistan,Pune,30 Oct 2023,ODI # 4687
Agha Salman,2,1,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
DJ Mitchell,2,1,New Zealand,v South Africa,Pune,01 Nov 2023,ODI # 4689
DA Miller,2,2,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
SS Iyer,2,2,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
RA Jadeja,2,2,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
Litton Das,2,1,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
KIC Asalanka,2,2,Sri Lanka,v Bangladesh,Delhi,06 Nov 2023,ODI # 4695
SA Engelbrecht,2,1,Netherlands,v England,Pune,08 Nov 2023,ODI # 4697
DJ Malan,2,2,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
DM de Silva,2,2,Sri Lanka,v New Zealand,Bengaluru,09 Nov 2023,ODI # 4698
PJ Cummins,2,1,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
M Labuschagne,2,1,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
Mohammed Shami,2,2,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
SPD Smith,2,1,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
DP Conway,1,1,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
MJ Henry,1,1,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
DJ Mitchell,1,1,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
WA Young,1,1,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
A Dutt,1,1,Netherlands,v Pakistan,Hyderabad,06 Oct 2023,ODI # 4659
LV van Beek,1,1,Netherlands,v Pakistan,Hyderabad,06 Oct 2023,ODI # 4659
Shaheen Shah Afridi,1,2,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
Litton Das,1,1,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
Fazalhaq Farooqi,1,2,Afghanistan,v Bangladesh,Dharamsala,07 Oct 2023,ODI # 4660
Rahmat Shah,1,2,Afghanistan,v Bangladesh,Dharamsala,07 Oct 2023,ODI # 4660
DM de Silva,1,1,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
CAK Rajitha,1,1,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
S Samarawickrama,1,1,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
MD Shanaka,1,1,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
M Jansen,1,2,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
AK Markram,1,2,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
Kuldeep Yadav,1,1,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
HH Pandya,1,1,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
C Green,1,2,Australia,v India,Chennai,08 Oct 2023,ODI # 4662
M Labuschagne,1,2,Australia,v India,Chennai,08 Oct 2023,ODI # 4662
DA Warner,1,2,Australia,v India,Chennai,08 Oct 2023,ODI # 4662
RE van der Merwe,1,1,Netherlands,v New Zealand,Hyderabad,09 Oct 2023,ODI # 4663
TA Boult,1,2,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
DP Conway,1,2,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
MJ Santner,1,2,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
Litton Das,1,1,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
Mahedi Hasan,1,1,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
JM Bairstow,1,2,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
LS Livingstone,1,2,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
AU Rashid,1,2,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
Babar Azam,1,1,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Imam-ul-Haq,1,1,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Shaheen Shah Afridi,1,1,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
MDKJ Perera,1,2,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
DN Wellalage,1,2,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
