Team,Score,Overs,RR,Inns,Opposition,Ground,Match Date,Scorecard
South Africa,428/5,50.0,8.56,1,v Sri Lanka,Delhi,7 Oct 2023,ODI # 4661
India,410/4,50.0,8.2,1,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
New Zealand,401/6,50.0,8.02,1,v Pakistan,Bengaluru,4 Nov 2023,ODI # 4692
South Africa,399/7,50.0,7.98,1,v England,Wankhede,21 Oct 2023,ODI # 4677
Australia,399/8,50.0,7.98,1,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
India,397/4,50.0,7.94,1,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Australia,388,49.2,7.86,1,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
New Zealand,383/9,50.0,7.66,2,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
South Africa,382/5,50.0,7.64,1,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
Australia,367/9,50.0,7.34,1,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
England,364/9,50.0,7.28,1,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
South Africa,357/4,50.0,7.14,1,v New Zealand,Pune,1 Nov 2023,ODI # 4689
India,357/8,50.0,7.14,1,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
Pakistan,345/4,48.2,7.13,2,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Sri Lanka,344/9,50.0,6.88,1,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
England,339/9,50.0,6.78,1,v Netherlands,Pune,8 Nov 2023,ODI # 4697
England,337/9,50.0,6.74,1,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
New Zealand,327,48.5,6.69,2,v India,Wankhede,15 Nov 2023,ODI # 4703
Sri Lanka,326,44.5,7.27,2,v South Africa,Delhi,7 Oct 2023,ODI # 4661
India,326/5,50.0,6.52,1,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
New Zealand,322/7,50.0,6.44,1,v Netherlands,Hyderabad,9 Oct 2023,ODI # 4663
South Africa,311/7,50.0,6.22,1,v Australia,Lucknow,12 Oct 2023,ODI # 4667
Australia,307/2,44.4,6.87,2,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
Bangladesh,306/8,50.0,6.12,1,v Australia,Pune,11 Nov 2023,ODI # 4700
Pakistan,305,45.3,6.7,2,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
Australia,293/7,46.5,6.25,2,v Afghanistan,Wankhede,7 Nov 2023,ODI # 4696
Afghanistan,291/5,50.0,5.82,1,v Australia,Wankhede,7 Nov 2023,ODI # 4696
New Zealand,288/6,50.0,5.76,1,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
Pakistan,286,49.0,5.83,1,v Netherlands,Hyderabad,6 Oct 2023,ODI # 4659
Afghanistan,286/2,49.0,5.83,2,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
Australia,286,49.3,5.77,1,v England,Ahmedabad,4 Nov 2023,ODI # 4693
Afghanistan,284,49.5,5.69,1,v England,Delhi,15 Oct 2023,ODI # 4670
New Zealand,283/1,36.2,7.78,2,v England,Ahmedabad,5 Oct 2023,ODI # 4658
Bangladesh,282/7,41.1,6.85,2,v Sri Lanka,Delhi,6 Nov 2023,ODI # 4695
England,282/9,50.0,5.64,1,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
Pakistan,282/7,50.0,5.64,1,v Afghanistan,Chennai,23 Oct 2023,ODI # 4679
Sri Lanka,279,49.3,5.63,1,v Bangladesh,Delhi,6 Nov 2023,ODI # 4695
India,274/6,48.0,5.7,2,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
India,273/2,35.0,7.8,2,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
New Zealand,273,50.0,5.46,1,v India,Dharamsala,22 Oct 2023,ODI # 4678
Afghanistan,272/8,50.0,5.44,1,v India,Delhi,11 Oct 2023,ODI # 4666
South Africa,271/9,47.2,5.72,2,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
Pakistan,270,46.4,5.78,1,v South Africa,Chennai,27 Oct 2023,ODI # 4683
Sri Lanka,263/5,48.2,5.44,2,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
Netherlands,262,49.4,5.27,1,v Sri Lanka,Lucknow,21 Oct 2023,ODI # 4676
India,261/3,41.3,6.28,2,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
Bangladesh,256/8,50.0,5.12,1,v India,Pune,19 Oct 2023,ODI # 4674
England,253,48.1,5.25,2,v Australia,Ahmedabad,4 Nov 2023,ODI # 4693
Netherlands,250,47.5,5.22,2,v India,Bengaluru,12 Nov 2023,ODI # 4702
New Zealand,248/2,42.5,5.78,2,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
South Africa,247/5,47.3,5.2,2,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
Netherlands,245/8,43.0,5.69,1,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
Bangladesh,245/9,50.0,4.9,1,v New Zealand,Chennai,13 Oct 2023,ODI # 4668
Pakistan,244,43.3,5.6,2,v England,Eden Gardens,11 Nov 2023,ODI # 4701
Afghanistan,244,50.0,4.88,1,v South Africa,Ahmedabad,10 Nov 2023,ODI # 4699
Afghanistan,242/3,45.2,5.33,2,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
Australia,241/4,43.0,5.6,2,v India,Ahmedabad,19 Nov 2023,ODI # 4705
Sri Lanka,241,49.3,4.86,1,v Afghanistan,Pune,30 Oct 2023,ODI # 4687
India,240,50.0,4.8,1,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
Bangladesh,233,46.4,4.99,2,v South Africa,Wankhede,24 Oct 2023,ODI # 4680
Netherlands,229,50.0,4.58,1,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
India,229/9,50.0,4.58,1,v England,Lucknow,29 Oct 2023,ODI # 4686
Bangladesh,227,48.2,4.69,2,v England,Dharamsala,10 Oct 2023,ODI # 4664
Netherlands,223,46.3,4.79,2,v New Zealand,Hyderabad,9 Oct 2023,ODI # 4663
Australia,215/5,35.2,6.08,2,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
England,215,40.3,5.3,2,v Afghanistan,Delhi,15 Oct 2023,ODI # 4670
Australia,215/7,47.2,4.54,2,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
South Africa,212,49.4,4.26,1,v Australia,Eden Gardens,16 Nov 2023,ODI # 4704
Sri Lanka,209,43.3,4.8,1,v Australia,Lucknow,16 Oct 2023,ODI # 4671
South Africa,207,42.5,4.83,2,v Netherlands,Dharamsala,17 Oct 2023,ODI # 4672
Pakistan,205/3,32.3,6.3,2,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
Netherlands,205,41.0,5.0,2,v Pakistan,Hyderabad,6 Oct 2023,ODI # 4659
Bangladesh,204,45.1,4.51,1,v Pakistan,Eden Gardens,31 Oct 2023,ODI # 4688
India,201/4,41.2,4.86,2,v Australia,Chennai,8 Oct 2023,ODI # 4662
Pakistan,200/1,25.3,7.84,2,v New Zealand,Bengaluru,4 Nov 2023,ODI # 4692
Australia,199,49.3,4.02,1,v India,Chennai,8 Oct 2023,ODI # 4662
India,192/3,30.3,6.29,2,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
Pakistan,191,42.5,4.45,1,v India,Ahmedabad,14 Oct 2023,ODI # 4669
Afghanistan,181/3,31.3,5.74,2,v Netherlands,Lucknow,3 Nov 2023,ODI # 4691
Netherlands,179,37.2,4.79,2,v England,Pune,8 Nov 2023,ODI # 4697
Netherlands,179,46.3,3.84,1,v Afghanistan,Lucknow,3 Nov 2023,ODI # 4691
Australia,177,40.5,4.33,2,v South Africa,Lucknow,12 Oct 2023,ODI # 4667
New Zealand,172/5,23.2,7.37,2,v Sri Lanka,Bengaluru,9 Nov 2023,ODI # 4698
Sri Lanka,171,46.4,3.66,1,v New Zealand,Bengaluru,9 Nov 2023,ODI # 4698
England,170,22.0,7.72,2,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
New Zealand,167,35.3,4.7,2,v South Africa,Pune,1 Nov 2023,ODI # 4689
Sri Lanka,160/2,25.4,6.23,2,v England,Bengaluru,26 Oct 2023,ODI # 4682
Bangladesh,158/4,34.4,4.55,2,v Afghanistan,Dharamsala,7 Oct 2023,ODI # 4660
England,156,33.2,4.68,1,v Sri Lanka,Bengaluru,26 Oct 2023,ODI # 4682
Afghanistan,156,37.2,4.17,1,v Bangladesh,Dharamsala,7 Oct 2023,ODI # 4660
Bangladesh,142,42.2,3.35,2,v Netherlands,Eden Gardens,28 Oct 2023,ODI # 4685
Afghanistan,139,34.4,4.0,2,v New Zealand,Chennai,18 Oct 2023,ODI # 4673
England,129,34.5,3.7,2,v India,Lucknow,29 Oct 2023,ODI # 4686
Netherlands,90,21.0,4.28,2,v Australia,Delhi,25 Oct 2023,ODI # 4681
South Africa,83,27.1,3.05,2,v India,Eden Gardens,5 Nov 2023,ODI # 4694
Sri Lanka,55,19.4,2.79,2,v India,Wankhede,2 Nov 2023,ODI # 4690
