Team,Score,Overs,Ext,b,lb,w,nb,RR,Inns,Opposition,Ground,Match Date,Scorecard
Netherlands,262,49.4,33,-,1,26,1,5.27,1,v Sri Lanka,Lucknow,21 Oct 2023,ODI # 4676
Netherlands,245,43.0,32,-,10,21,1,5.69,1,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
New Zealand,327,48.5,29,4,5,19,1,6.69,2,v India,Wankhede,15 Nov 2023,ODI # 4703
Pakistan,345,48.2,26,-,-,25,1,7.13,2,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
New Zealand,383,50.0,26,-,4,22,-,7.66,2,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
New Zealand,401,50.0,26,-,8,17,1,8.02,1,v Pakistan,Bengaluru,4 Nov 2023,ODI # 4692
India,326,50.0,26,-,2,22,2,6.52,1,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
Australia,367,50.0,25,1,10,14,-,7.34,1,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
Sri Lanka,263,48.2,24,13,-,11,-,5.44,2,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
Bangladesh,306,50.0,24,-,10,12,2,6.12,1,v Australia,Pune,11 Nov 2023,ODI # 4700
Bangladesh,282,41.1,23,-,13,10,-,6.85,2,v Sri Lanka,Delhi,6 Nov 2023,ODI # 4695
South Africa,428,50.0,23,-,1,21,1,8.56,1,v Sri Lanka,Delhi,7 Oct 2023,ODI # 4661
South Africa,271,47.2,21,1,5,15,-,5.72,2,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
England,339,50.0,21,-,-,20,1,6.78,1,v Netherlands,Pune,8 Nov 2023,ODI # 4697
Sri Lanka,326,44.5,20,-,5,14,1,7.27,2,v South Africa,Delhi,7 Oct 2023,ODI # 4661
India,357,50.0,20,5,6,8,1,7.14,1,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
Pakistan,305,45.3,19,1,7,11,-,6.7,2,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
Pakistan,270,46.4,19,4,-,11,4,5.78,1,v South Africa,Chennai,27 Oct 2023,ODI # 4683
England,337,50.0,19,5,2,12,-,6.74,1,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
Australia,241,43.0,18,5,2,11,-,5.6,2,v India,Ahmedabad,19 Nov 2023,ODI # 4705
Australia,177,40.5,17,-,4,11,2,4.33,2,v South Africa,Lucknow,12 Oct 2023,ODI # 4667
Bangladesh,233,46.4,17,-,2,13,2,4.99,2,v South Africa,Wankhede,24 Oct 2023,ODI # 4680
Australia,215,47.2,17,-,3,12,2,4.54,2,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
Pakistan,282,50.0,17,-,4,12,1,5.64,1,v Afghanistan,Chennai,23 Oct 2023,ODI # 4679
Netherlands,179,46.3,16,-,2,14,-,3.84,1,v Afghanistan,Lucknow,3 Nov 2023,ODI # 4691
Afghanistan,291,50.0,16,-,5,10,1,5.82,1,v Australia,Wankhede,7 Nov 2023,ODI # 4696
England,170,22.0,15,-,9,5,1,7.72,2,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
India,273,35.0,15,1,4,10,-,7.8,2,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
Australia,293,46.5,15,4,1,10,-,6.25,2,v Afghanistan,Wankhede,7 Nov 2023,ODI # 4696
Afghanistan,284,49.5,15,-,1,11,3,5.69,1,v England,Delhi,15 Oct 2023,ODI # 4670
Afghanistan,272,50.0,15,2,3,8,2,5.44,1,v India,Delhi,11 Oct 2023,ODI # 4666
South Africa,399,50.0,15,2,3,9,1,7.98,1,v England,Wankhede,21 Oct 2023,ODI # 4677
New Zealand,273,50.0,15,3,5,7,-,5.46,1,v India,Dharamsala,22 Oct 2023,ODI # 4678
Afghanistan,244,50.0,15,4,1,10,-,4.88,1,v South Africa,Ahmedabad,10 Nov 2023,ODI # 4699
India,410,50.0,15,-,1,13,1,8.2,1,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
England,253,48.1,14,-,6,8,-,5.25,2,v Australia,Ahmedabad,4 Nov 2023,ODI # 4693
Sri Lanka,344,50.0,14,2,2,9,1,6.88,1,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
England,215,40.3,13,-,4,8,1,5.3,2,v Afghanistan,Delhi,15 Oct 2023,ODI # 4670
Sri Lanka,209,43.3,13,2,2,9,-,4.8,1,v Australia,Lucknow,16 Oct 2023,ODI # 4671
Netherlands,250,47.5,13,-,9,4,-,5.22,2,v India,Bengaluru,12 Nov 2023,ODI # 4702
New Zealand,322,50.0,13,-,3,8,2,6.44,1,v Netherlands,Hyderabad,9 Oct 2023,ODI # 4663
South Africa,311,50.0,13,4,2,7,-,6.22,1,v Australia,Lucknow,12 Oct 2023,ODI # 4667
Afghanistan,181,31.3,12,-,3,7,2,5.74,2,v Netherlands,Lucknow,3 Nov 2023,ODI # 4691
New Zealand,167,35.3,12,4,1,6,1,4.7,2,v South Africa,Pune,1 Nov 2023,ODI # 4689
Australia,199,49.3,12,-,6,6,-,4.02,1,v India,Chennai,8 Oct 2023,ODI # 4662
Australia,399,50.0,12,-,-,11,1,7.98,1,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
Netherlands,229,50.0,12,4,1,7,-,4.58,1,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
South Africa,357,50.0,12,-,4,8,-,7.14,1,v New Zealand,Pune,1 Nov 2023,ODI # 4689
India,240,50.0,12,-,3,9,-,4.8,1,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
New Zealand,248,42.5,11,-,1,10,-,5.78,2,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
Sri Lanka,241,49.3,11,-,2,9,-,4.86,1,v Afghanistan,Pune,30 Oct 2023,ODI # 4687
South Africa,212,49.4,11,-,4,7,-,4.26,1,v Australia,Eden Gardens,16 Nov 2023,ODI # 4704
Sri Lanka,55,19.4,10,5,1,4,-,2.79,2,v India,Wankhede,2 Nov 2023,ODI # 4690
Afghanistan,242,45.2,10,-,1,9,-,5.33,2,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
