Player,Span,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
Q de Kock (SA),2023-2023,10,10,20,19,1,6 (6ct 0st),2
KL Rahul (IND),2023-2023,11,11,17,16,1,4 (4ct 0st),1.545
JP Inglis (AUS),2023-2023,10,10,16,14,2,5 (5ct 0st),1.6
SA Edwards (NED),2023-2023,9,9,15,13,2,4 (4ct 0st),1.666
JC Buttler (ENG),2023-2023,9,9,11,9,2,3 (3ct 0st),1.222
Mohammad Rizwan (PAK),2023-2023,9,9,11,11,-,3 (3ct 0st),1.222
TWM Latham (NZ),2023-2023,10,10,9,9,-,3 (3ct 0st),0.9
Ikram Alikhil (AFG),2023-2023,7,7,7,6,1,3 (2ct 1st),1
BKG Mendis (SL),2023-2023,9,9,7,6,1,3 (2ct 1st),0.777
H Klaasen (SA),2023-2023,10,-,5,5,-,3 (3ct 0st),-
Mushfiqur Rahim (BAN),2023-2023,9,9,5,4,1,2 (1ct 1st),0.555
S Samarawickrama (SL),2023-2023,9,-,1,1,-,1 (1ct 0st),-
Rahmanullah Gurbaz (AFG),2023-2023,9,2,1,1,-,1 (1ct 0st),0.5
AT Carey (AUS),2023-2023,1,1,-,-,-,0,-
